id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country
1;Gene;Legros;FEMALE;";naSC@`.1";1-394-413-1228 x47125;helpfully;scenery brr;Lake Mavisburgh;Bhutan
2;Gerson;Ferry;FEMALE;"Aw~l>@aw.dp;)";990.381.1338 x927;utterly;warm save;Saginaw;San Marino
3;Euna;Turcotte;OTHER;"lWv1@2:t.$J.]";836.509.4519 x59914;over cephalopod as;big-hearted notwithstanding;Port Salvador;Liechtenstein
4;Claud;Lang;MALE;"wRn?@Y'HV8.f";(334) 873-7023 x133;perfume;joyously;Carmenfurt;New Caledonia
5;Brando;O'Kon;FEMALE;"Ei%@qM.f";1-928-451-7525 x220;inwardly;almost;Wittingside;Honduras
6;Brayan;Hansen;MALE;"y\d?=@EX]Ck.V";384-566-7575;printer;meh excluding lest;Russelbury;Malawi
7;Markus;Bauch;MALE;"*Nm7e@_.rU]l";(392) 404-5507 x03090;before;mix which manufacturer;Leonorstead;North Macedonia
8;Eve;Russel;MALE;"Wqf#hD@2Q1xf.-_+^";(858) 395-7457 x73952;provided;incidentally gaseous;West Elfrieda;Tanzania
9;Ettie;Stiedemann;FEMALE;"l6i<@KO.RZ";943.793.8766;underestimate;independent if charming;Hansenberg;Haiti
10;Lavonne;Yundt;MALE;"[@U.Y^";1-304-209-6608 x17015;pace;lest needy;Paradise;Jersey
